text;value
"""A female dog is called a bitch"";0"
"""What an annoying bitch"";1"
"""Eat shit!"";1"
"""What a stupid asshole."";1"
"""The hole has been covered with soil."";0"
"""Tf just happened?"";1"
"""What the hell are you doing?"";1"
"""Go to hell, stupid!"";1"
"""Religions often teach about the existence of hell."";0"
"""That man who keeps talking nonsense is annoying."";0"
"""That person is just plain stupid."";1"
"""The teacher said that no one is stupid."";0"
"""Sometimes, stupidity and ignorance are blessings."";0"
"""Stupid piece of shit."";1"
"""Chill, bitch!"";1"
"""Like hell would I agree on that!"";1"
"""Damn it, why is this so bothersome?"";1"
"""When the character sleeps, he hears the screams of damned souls."";0"
"""Shut up, retard."";1"
"""Are you retarded?"";1"
"""In music, the sign to slow down in the sheet is written as ritard, short for ritardando."";0"
"""Idiotic people."";1"
"""The heck are you doing, idiot?!"";1"
"""What a shitty advice."";1"
"""What an awesome show!"";0"
"""Shitake mushroom is so delicious when processed into certain dishes!"";0"
"""What a wonderful movie!"";0"
"""This series is pure dogshit."";1"
"""This series is purely comedic."";0"
"""The hell are you talking about?"";1"
"""Stop talking, please"";0"
"""That person near the streets is acting like an asshole."";1"
"""Hey, pigface, move out of the way."";1"
"""You're eating like a pig."";1"
"""What are you, their dog?"";1"
"""Just burn in hell!"";1"
"""Stop all this bullshitery!"";1"
"""Don't lie."";0"
"""A pig's meat is called a pork."";0"
"""Hey, why are they taking those pigs out of the pen?"";0"
"""At this point, they become the company's dogs"";1"
"""They're just being an ass."";1"
"""Are you going to leave?"";0"
"""Shut yo ass up!"";1"
"""Do you know someone called Nasser?"";0"
"""There is a region called Assyria, right? Or was it Asyria?"";0"
"""Silence!"";0"
"""Why can't you do that, were you born with defects?"";1"
"""The song Amanojaku has an English title, Born Coward."";0"
"""Are you a coward? This is easy!"";1"
"""You, come and become my slave!"";1"
"""Slavery was a thing before it was banned."";0"
"""You're acting like a lowly slave."";1"
"""Your skill is trash!"";1"
"""Stop talking about weird things!"";0"
"""Stop annoying others!"";0"
"""Shut up, shitbag!"";1"
"""Dumbass piece of shit."";1"
"""You're a bass player?"";0"
"""Go die, stupid ass."";1"
"""What is a brass, anyway?"";0"
"""Everything in this work is fictitious"";0"
"""What a bastard he is."";1"
"""Noisy Westards."";1"
"""Yo, a trashface is here!"";1"
"""Can you throw the trash out?"";0"
"""What a great way to show the world that you're retarded"";1"
"""You're just throwing trash everywhere, stop it!"";0"
"""Silence, you piece of shit."";1"
"""That man is a fucking asshole!"";1"
"""No, you asshole, shut up."";1"
"""Shitty ass food."";1"
"""You idiotic dumbfuck!"";1"
"""Piece of fucking shit."";1"
"""Shut the fuck up, bitch!"";1"
"""This shitbag is so annoying."";1"
"""Retarded dumbass."";1"
"""Fat ass pig"";1"
"""You're just being a dog for those corporates"";1"
"""Lowly dogs don't have the right to speak!"";1"
"""Please don't be harsh to that dog."";0"
"""I'm just a lowly mortal before Thee"";0"
"""Brainless shitbag"";1"
"""Stupid retarded asshole!"";1"
"""Jellyfish are brainless animals."";0"
"""Those brainless people are driving recklessly again!"";1"
"""Go to hell!"";1"
"""Don't go around telling people that they'll go to hell!"";0"
"""Stop telling people to die!"";0"
"""Kill yourself."";1"
"""I will just kill myself"";1"
"""I will kill you!"";1"
"""The accident killed 100 people."";0"
"""Kill one of our soldiers, and a thousand more will emerge."";0"
"""His ass is being beaten"";1"
"""Please leave me alone"";0"
"""Leave the hell out of here!"";1"
"""That fucking idiot is so noisy."";1"
"""Are you autistic or just dumb?"";1"
"""You're speaking like you have autism"";1"
"""Please don't mock autistic people!"";0"
"""Those with autism has suffered from social pressure"";0"
"""Autism is one of the disorders people can be born with."";0"
"""You brainless monkey!"";1"
"""He's acting like a crazy monkey"";1"
"""Is he crazy, insane or stupid?"";1"
"""Stop bitching!"";1"
"""What an awful story."";0"
"""You're so annoying!"";0"
"""Shitty quality."";1"
"""How dare you!"";0"
"""No, that's not right."";0"
"""There's no way you're this dumb"";1"
"""Can't believe someone can be this hell of a shithead."";1"
"""Why are you saying that again and again?!"";0"
"""What a piece of cake, that is!"";0"
"""Motherfucking piece of shit!"";1"
"""Nigga, that's uncalled for!"";1"
"""No, you can't just do that."";0"
"""That person is not doing anything."";0"
"""Stop being such a retard!"";1"
"""Fucking trash of a player!"";1"
"""Go to hell with that shitty aim of yours!"";1"
"""Such a motherfucker!"";1"
"""Nier is a series, if what I heard is correct."";0"
"""His mother won't return home until 5."";0"
"""Grandmother lives there."";0"
"""Such a fun way to do this!"";0"
"""You all suckers!"";1"
"""Can't you play this game?"";0"
"""Fur is a rather expensive material."";0"
"""You all are very great!"";0"
"""Niggers, who stole my items?"";1"
"""Asshole, shut up."";1"
"""Why don't they patch up that hole?"";0"
"""Fucking dumb nigga."";1"
"""Hey, we have a dumb fucker here."";1"
"""Hey, you, who asked you to park here?"";0"
"""Idiotic piece of shit."";1"
"""Shit, I forgot!"";1"
"""What a huge load of packages!"";0"
"""Bunch of annoying people."";0"
"""What a bunch of idiots."";1"
"""Hey, that insult is uncalled for!"";0"
"""Why don't these motherfuckers shut the hell up?"";1"
"""Shut up!"";0"
"""I will fuck you up."";1"
"""Say that again to me, shitface!"";1"
"""The hell is going on with you?"";1"
"""These niggers are always complaining."";1"
"""The hell is thought to be a fiery place."";0"
"""Don't just go fuck around!"";1"
"""Fucking piece of shit!"";1"
"""Give me that shit."";1"
"""What in the fuck is that?!"";1"
"""Furrow? I have heard of that."";0"
"""What an interesting individual."";0"
"""Such great person can't be contacted that easily."";0"
"""Good. Let that sink in."";0"
"""Nice, nice, keep the pace up."";0"
"""Fucking retarded dumbass bitch!!"";1"
"""Hey, can you stay quiet?!"";0"
"""Nah, mate, it ain't it."";0"
"""Fine, that's it."";0"
"""Go away!!"";0"
"""Yo, come here, let's play!"";0"
"""Are you fucked in the head?"";1"
"""What a fun way to relax."";0"
"""This restaurant sucks, its food tastes like shit."";1"
"""Wanna eat some food?"";0"
"""No, going to restaurants will drain my money."";0"
"""Chill, nobody'll hurt you!"";0"
"""why the fuck do you use jq for support characters???"";1"
"""I can't tell if ur joking or ur actually stupid."";1"
"""Jiaoqiu by himself sucks"";1"
"""You guys all sucks"";1"
"""Her English va sounds annoying af"";1"
"""I want her so badlyyy......"";0"
"""womp to the fucking womp"";1"
"""i fucking wish it was rage bait"";1"
"""You suck at this game."";1"
"""Man, I wish I can do that."";0"
"""she ate and didnt leave anything"";0"
"""Now she have 9 Tails Damn"";0"
"""Jiaoqiu found dead in a ditch"";0"
"""She's a cunt"",1"
"""Shut up, you're being noisy."";0"
"""That's cursed."";0"
"""What a slut."";1"
"""Are you a whore?"";1"
"""Fuckerssss"";1"
"""This whore won't ever stop talking, huh?"";1"
"""You're acting like a kid."";0"
"""What a magnificent performance!"";0"
"""This shithead can't just die?"";1"
"""Cuphead is an amazing game."";0"
"""Where have I put my glasses?"";0"
"""I hate this fucking game."";1"
"""Bro, the hell?"";1"
"""So long, suckers!"";1"
"""Man, this is just pure fucking pain!"";1"
"""Nah, bitch."";1"
"""That scumbag just hit me."";1"
"""Sit down, please."";0"
"""What are all these trashes?"";0"
"""Improve your skill if you want to keep playing."";0"
"""Ash is produced after burning something."";0"
"""I'm so motherfuckin tired!"";1"
"""Don't go bitching around."";1"
"""Awesome, keep it up!"";0"
"""Take that damn bag with you and never come back!"";1"
"""Go fuck yourself!"";1"
"""The fuck happened here?"";1"
"""I'll go to another city next month."";0"
"""Can I buy a dummy for practice?"";0"
"""A dam stores so much water."";0"
"""Your face is just awful!"";1"
"""No, man, it's an awful hotel."";0"
"""This shitty performance is no better than mine."";1"
"""Shin is a part of a human body, right?"";0"
"""My father is working since this morning."";0"
"""Mother, have you bought food?"";0"
"""Niger and Nigeria are different countries."";0"
"""Are you coming to my house?"";0"
"""This is just pure bullshit."";1"
"""What a freak you are."";1"
"""Man, you're so shitty."";1"
"""Watch your head, asshole."";1"
"""This shithole talks so much!"";1"
"""Such a fool."";1"
"""This is a joke, right?"";0"
"""Bulls are known to be rather dangerous when disturbed."";0"
"""Can you sit there?"";0"
"""Talk again and I will punish you."";0"
"""Don't badmouth people!"";0"
"""The forehead of this character is too big."";0"
"""Obese bitch."";1"
"""This cat is obese, reduce its food."";0"
"""Pig fat is not healthy."";0"
"""Blind ass motherfucker."";1"
"""Literally a fucking cheap copy."";1"
"""Blacklist them!"";0"
"""Beaches are rather hot, usually."";0"
"""This is not what I expected from a seed."";0"
"""You're acting like a monkey."";1"
"""Bro, what are you doing here?"";0"
"""Are you insane?"";1"
"""Man, please don't copy my work."";0"
"""An insane person can't be legally punished, can they?"";0"
"""FUCK YOU!"";1"
"""Ah, this motherfucking stupid asshole."";1"
"""Motherfucker!"";1"
"""You want to die??"";1"
"""Go fucking die!"";1"
"""Bitch, who plays that character these days?"";1"
"""Fucking stupid."";1"
"""Ah, fuck!"";1"
"""Why? Fucking why?"";1"
"""You can't do that, you will die."";0"
"""DIE, BITCHH!"";1"
"""I'll kill you, niggers"";1"
"""I'll fucking die."";1"
"""Agh, why is this motherfucker so annoying?"";1"
"""Idiotic asshole."";1"
"""Man, it sucks to not have that."";0"
"""You suck, man."";1"
"""This person is definitely retarded."";1"
