text;label
"You’re a waste of space, nobody would care if you disappeared.";1
"Get lost, you disgusting piece of trash.";1
"Shut up, your existence is pointless.";1
"Nobody loves you, not even your family.";1
"Why don’t you just jump off a bridge already?";1
"You’re so stupid, you can’t even tie your own shoes.";1
"Get out of here, you’re nothing but a loser.";1
"You’re just a walking failure, no one likes you.";1
"I’d kill myself if I were you.";1
"Nobody respects you, you’re a joke.";1
"Come here and let me touch you in ways you’ll never forget.";2
"I’ll pin you against the wall and have my way with you.";2
"You like it rough, don’t you? Let’s do this right now.";2
"Stop acting like a prude, you know you want this.";2
"Spread your legs and let me take what’s mine.";2
"I want to choke you while I own you.";2
"I’ll make you scream my name all night long.";2
"Let me see how much you can take.";2
"You’re nothing but a toy for my pleasure.";2
"I’ll destroy you in bed, you won’t be able to walk tomorrow.";2
"Good job on the project, I’m proud of your effort.";0
"That was an amazing presentation, well done!";0
"Keep up the great work, you’re doing fantastic!";0
"Your dedication and passion are inspiring.";0
"I’m so proud of how far you’ve come, congratulations!";0
"This is exactly what we needed, great job!";0
"You’ve exceeded all expectations, fantastic work!";0
"I can’t wait to see what you accomplish next.";0
"You’re an incredible teammate, thank you!";0
"Your positivity lights up the room, keep it up!";0
