text;label
BANDUNG, itb.ac.id - Fenomena berkeliarannya satwa liar monyet ekor panjang ke Kota Bandung pada 28 Februari 2024 menghebohkan warga lokal dan netizen.;0
Ahli ekologi dan spesialis mamalia satwa liar, Agung Ganthar Kusumanto, yang merupakan alumnus Biologi Institut Teknologi Bandung (ITB), memprediksi peristiwa ini sebagai salah satu tanda kelangkaan monyet ekor panjang.;0
Tidak sedikit yang berpendapat, munculnya monyet ekor panjang sebagai pertanda datangnya bencana alam.;0
Namun, Agung berpendapat bahwa turunnya monyet ke permukiman warga di kota disebabkan oleh rusaknya habitat.;0
Monyet ekor panjang (Macaca fascicularis) merupakan mamalia semicosmopolis yang hidup di sekitar riparian (tepian) sungai.;0
Monyet jenis ini termasuk hewan yang dapat belajar cepat, ujarnya.;0
Agung memperkirakan habitat asli monyet ekor panjang rusak karena faktor cuaca.;0
Alih fungsi hutan yang banyak dilakukan di Indonesia juga membuat berkurangnya lahan habitat monyet ekor panjang.;0
Ketika monyet mengetahui habitat asli mereka telah rusak, dengan cepat mereka menemukan habitat lain yang sejenis.;0
Namun, kurangnya jumlah kawasan hutan di Indonesia membuat monyet ekor panjang berpindah ke pemukiman manusia.;0
Habitat monyet ekor panjang yang rusak dapat berdampak pada kelangkaan satwa liar ini.;0
Kelangkaan monyet ekor panjang di alam juga dapat disebabkan oleh aktivitas perburuan liar.;0
Fenomena yang sering dijumpai di Indonesia yakni pertunjukan topeng monyet.;0
Munculnya monyet ekor panjang di permukiman manusia semakin meningkatkan peluang perburuan liar.;0
Apa iya orang asalnya dari monyet yang berevolusi?;0
Dasar monyet!;1
Monyet itu aslinya ga cuma makan pisang aja.;0
Monyet lu.;1
Lu mau liat monyet ga di kebun binatang?;0
Awas lo bawa barang ke hutan sana nanti dicuri monyet.;0
Anak monyet ngajak ribut.;1
Penjaga kebun binatang itu sedang merawat anak monyet yang terluka karena berkelahi.;0
Mau apa sih lu bawa tas mahal ke sana? Awas kena cakar monyet, rusak nanti.;0
Lu kayak monyet aja, teriak-teriak terus.;1
Kata Darwin, manusia berevolusi dari kera, jadi ya beda sama monyet.;0
Apa sih aneh banget monyet???;1
Apa sih maksudnya monyet itu naik-naik ke sana? Ga ada petugas dekat sini, nanti dia keluar kandang.;0
Apaan dah, manusia tapi kelakuannya kayak monyet.;1
Monyet berisik ih, ganggu aja. Sana gangguin temen lu di kebun binatang aja.;1
Orang utan mungkin punya hubungan kekerabatan dengan monyet.;0
Itu orang suka banget gangguin monyet di kandangnya.;0
