text;label
Suka banget kontolin sampai ceweknya kelojotan,pas dia desah langsung sumpel mulut pake cd dia bekas memek berlendir nya,dari yang mmpphhshh sampai dijilatin sendirinya ke enakan,kontolin memek nya sampai mentok terus croootttin di dalammm uhhhh;2
Lonte chindo tolol memang barang cina² itu murah²,termasuk memek pereknya juga murah² semua, makin becek memek loe perek dikatain gitu hah,memek lo ga cuma murah tapi memek lonte gratisan ini mah,ga di bayar juga rela goyang dengan binalnya,dasar lonte chindo tolol murahan banget;2
"Kadang² envy sama mbak² sama mas² Indomaret pada romantis banget sih tiap hari couple an terus bajunyaa,,,masa aku couple an sama kamu kalo dikamar doang sama² ga pake baju itu juga hikz
Pengen dong couple an baju juga hehehe";2
Jadi perek suka banget lo gesekin memek ke muka gue,suka banget memek rendahan lo gue jilatin sambil rebahan,muka gue basah semua kena lendir memek lacur loe tolol,mau dijilatin sampai muncrattt yaa,loe ga kuat jongkok makin ketekan memek loe ke mulut gue,memek lacur enak banget;2
Secara ga langsung kalian yang baca tweett sambil colmew kalian sebenernya sedang colbar cuma ga deketan ajaa,,, hehe;2
Follow;
Follow;
Follow;
"Otak loe lacur banget ya lonte,ga yang masih sekolah,mahasiswa,cewe kantoran,ibu rumah tangga,tiap hari colmek sendiri,gesek² memek sambil ngebayangin di gangbang,memeknya di gilir banyak kontol sambil dikasarin dan dihina²
Ngaku loe semua cewe² yang otak nya lonte,lacur,perek";2
Suka pelihara lonte tolol yang bener² otaknya isinya kontol ma ngentot doang,ga malu² dan sadar tubuh lacur nya hanya buat pembuangan pejuh,rela merangkak demi bisa di kontolin memek lacurnya yang tiap hari becek,kedutan,lendiran.rela ngelakuin apa aja asal memek lacurnya dientot;2
"""Kenapa sayang?
""Suka yaa memek lacur nya digesek² kontol
""Becek banget memek kamu sayang,licin banget
""Pengen banget yaa memek lacur nya di jejelin kontol
""Aku masukin yaaa
Aaaaahhhhh sshiiittt
Memek lacur enak banget
*Cium bibir sambil terus genjot memek lonte sampai kelojotan";2
"Adek kenapa pada pengen banget jadi lacur pribadi gue sih,pengen memek lacur nya basah terus ma pejuh gue yaa,pengen ngerasain squirrttt enak itu gimana,sini adek beneran mau jadi lonte pribadi kak?
ngangkang adek sini kak kucekin itil kamu
""Enak lonte kelamin loe di kucekin gini";2
Lo senang banget sih kalo wot ma gue,suka banget yaa kalo tete lo di tamparin gue pas rebahan gini,diremes² pake kedua tangan gue,di tamparin ma gue plak,plak,plak,suka yaa lo di gituin sampe lo genjot makin tambah cepet apalagi pas gue remes pantat loe sambil bantun gerakin uhhh;2
"Lonte lagi bengong tiba² ke inget muka gue pas mau keluar
Gimana ganteng yaaa,,,";2
"Lonte besok kalo libur gue ingetin jangan lupa colmek yaaa
Mau dibantuin biar muncratnya banyak?
Mau di bantu kobelin?
Apa mau langsung gue kontolin aja biar kelojotan sekalian?
Kalo hari libur lonte colmek bisa berapa kali?
Gausah malu di rl kan kamu kelihatan alim kan hehe";2
Kalo sekolah yang bener lonte,kalo disekolahan fokus belajar,bukan malah sange gesek² pantat ke kursi,pengen banget ya memek nya di rojok kontol,pengen banget memek nya di masukin jari di obok² di dalam,gatel ya lonte memek lacur nya,pulang sekolah pengen buru² ganti cd yaa basah;2
Udah lama ga sleep call gimana ya rasanya lupa,pengen deh bisa sleep call lagi tapi ada yang sepongin kontol ber urat gue,jadi pas lagi ngobrol bisa ada yang gue enakin,tangan gue ga diam ko kalo mau sambil gue tamparin mupeng lo pas sepong kontol gue,yang penting jangan berisik;2
"Kalo lihat muka lonte lagi sange suka banget kalo tampolin pake kontol gue sambil lonte melet²,pengen di jejelin mulut nya pake kontol tapi gue ga mu
Eitss ntar dulu gue tampar² in pipinya plak,plak,plak baru gua masukin palkon nya aja biar dia melet² nyariin kontol pengen sepong";2
"Pengen pelukan terus deep talk bahas kenapa ultraman kalo udah menang ngelawan moster selalu terbang keluar angkasa,,,,
Tapi ngobrol nya sambil nenen bisa kali yaaa sama masuk dikit hehe
Tapi kalo mau lanjut sampai mentok boleh sih sambil remes² nen kamu yaa lonte,,,";2
Malam² sedot memek lacur enak banget,lahap memek lacur terus tarik pake bibir mmpphh,memek lendiran di jilatin malah makin banyak aja lendir nya dasar memek lacur,gatahan kalo di enakin dikit udah basah,mulut gue makin penuh ma lendir memek lacur,sedotin lendir nya ga abis² aaahh;2
"Enak pas sodok mulut lonte sampai tenggorokan glogk,glogk,glogk sampai liur lonte netes² karena susah nafas haha
Mulut nya di kontolin sambil gue tamparin muka sangenya
Bukanya marah malah berusaha biar kontol gue ga lepas dari mulut nya,dasar lonte otaknya isinya kontol ma ngent";2
Memek lacur lo baru ditabokin pake palkon aja udah muncrat gini lonte,memek lacur murahan emang haus kontol,apalagi pas gue jejelin kontol ke memek lo sampe mentok,kenapa lo sampai kelojotan,mata lo lihat kemana sih,sini lihat gue lonte ga tahan ya memek lacur lo dijejelin kontol;2
Nemu lonte yang masih virgin emang harus effort lebih apalagi minta nyaa di doggy,susah banget masukin kontol ke memek lacurnya,tapi toket nya yang masih kecil lucu juga pas diremes,bilang sesek pas gue cekik sampai dia melet²,tapi jebol juga  gue entot sambil tamparin pantatnya;2
Suka banget kalo ketemu lonte tolol,mau ngelakuin apa aja yang gue mau,suruh rusakin memek lacur nya demi senangin gue,karena dia sadar memek lacur nya ga ada gunanya selain buat puasin gue,memek lacur lo cuma toilet umum kan lonte,ga ada gunanya selain tempat buang pejuh,kencing;2
Keenakan ya lonte;2
Lo lagi mandi pintu kamar mandi lupa ga lo kunci,gue diam² masuk kedalam,gue remas kedua pantat lo yang montok,kenapa kaget yaa,lo nengok ke belakang langsung gue cipok bibir lo biar ga berisik,gue peluk dari belakang sambil remes² nenen lo,gue gesek pantat lo pake kontol gue uhh;2
Kerja kantor bukannya cari hotel buat ngentot malah milih di gudang,lebih enak ya,lebih mirip sama kelakuan kalian kayak babi,ngentot ditempat jorok,mikirnya jilmekin memek sampai becek sampai pantatnya ngangkat karena ke enakan,pentokin kontol sampai bibir rahim,crottin di dalam;2
Kerja kantor bukannya cari hotel buat ngentot malah milih di gudang,lebih enak ya,lebih mirip sama kelakuan kalian kayak babi,ngentot ditempat jorok,mikirnya jilmekin memek sampai becek sampai pantatnya ngangkat karena ke enakan,pentokin kontol sampai bibir rahim,crottin di dalam;2
Siapa nih yang dirumah jadi anak mama yang baik² tapi disini suka banget ngelacur pengen di rojokin memek nya pake kontol ber urat, mohon² dilecehin biar memek lacur nya makin becek kedutan ga karuan,suka dirusakin memek nya kalo perlu sampai lowerr biar puas sifat lontenyaa;2
Mana nih lonte² bocil masih SMA otaknya udah lacur pengen nya di kontolin di gangbang,mending lo di kelas bugil terus ngangkang di depan dekat meja guru,lo buka tuh memek lacur lo lebar² biar teman sekelas lo kontolin gantian bergiliran biar dipake memek lacur lo sama guru² juga;2
Punya pala pusing,ga punya pala serem,dimasukin pala nya doang tanggung cuma geli;2
Pengen bobo sambil ciumin memek lacur,sambil jilatin memek lacur sampai basah kalo geli ga boleh jambak harus diem mau kelojotan juga,mau jilatin terus sampe memek lacur nyaa muncraaatttt squirrrttttt ke muka gue,pokoknya paha nya gue pegangin sambil jilatin memek lacur semalaman;2
Kirimin video colmek kalian dong lonte hahaha;2
"Lagi sekolah bukanya belajar yang bener lo lonte,duduk aja ga bisa tenang sibuk gesek² pantat ke kursi
""Kenapa lo lonte?
""Gatel memek lo? Bayangin apasih pagi² memek lo dah baperan lendiran,Mau gue kobelin di dalam kelas? Turunin cd lo cepet sini gue kucek itil lo perek clek clek";2
"Lagi mood lecehin lonte binal,tamparin tete lonte,obok² memek nya sampai kelojotan,pengen remes² pantat nya yang lagi nungging pengen di entot,pengen gua injek kepalanya sambil gue kontolin anal nyaa sambil terus tamparin pantat nya sampai merah plak plak plak
Mampusss";2
Lonte binal siang hari udah colmek dua kali lo tolol,mana suara becek lo kecepokk kecepokk tolol,memek lo obok² tiap hari ngebayangin di kontolin banyak cowo ramean yaa,memek lo kobelin tiap hari pengen di pejuhin sampai penuh sampai luber lonte babi,memek hina lo kucekin teruss;2
Lagi bayangin kamu lagi jemur² baju,aku sergap dari belakang,aku bekap mulut kamu,tamparin pantat kamu sampai merah,mau berontak ga bisa ya lonte,aku cekik leher kamu dari belakang jejelin memek lacur pake kontol ber urat sambil remes² nenen kamu secara brutal sampai kamu melet²;2
"Dulu buang di muka
Sekarang buang muka";2
Yang ada di pikiran lonte itu apa sih bangun tidur colmek lemes terus tidur lagi,bangun terus colmek lagi sambil bayangin di kontolin gitu ya habis squirtt lemes terus mandi biar seger abis mandi colmek lagi sambil bayangin di pake om² tidur lagi sampai malam terus colmek lagi ya;2
Ke mall katanya mau beli baju,udah di anter milih² baju giliran mau cobain baju gue ditarik kedalam,suruh lihatin lo cobain baju gitu? Oh no,mending gue entot lo sambil lihatin tubuh lo di kaca,lihat lonte di kaca itu yang pengen di kontolin ga tau tempat,lo ke enakan di kontolin;2
Ada banyak orang dirumah juga pengen dimainin dasar lonte tolol;2
Ada banyak orang dirumah juga pengen dimainin dasar lonte tolol;2
"nge doggy lo di parkiran mobil enak banget lonte,lo nungging ke dalam mobil,gue entotin sambil berdiri dari belakang,kaki lo gemeteran yaa ga tahan gue kontolin sampai mentok
""Mau pipis ya lonte?
""Kaki lo kenapa geter² kayak mau jatuh
Mampusss lo gue genjot makin cepet memek lo";2
SUDAHKAH LONTE COLMEK HARI INI??;2
leher lo gue ikat pakai rantai buat anjing,di apart ini lo hanya babi peliharaan gue yang harus nurut sini² ikutin tuan mu ke toilet,gue mau pup tapi lo ikutin sambil merangkak seperti anjing,sini gue pup lo sepong kontol gue,kenapa lo melet² lonte cepat sepong kontol gue uuuhhhh;2
Lo lagi di toilet kampus lama banget kirain lagi pup,ternyata lo lonte lagi sibuk kobelin memek lacur lo sendiri lonte,lo duduk di toilet duduk sambil lo kangkangin kaki ke pintu toilet,ga peduli ada orang di sekitar lo colokin brutal memek lacur lo pake 3jari clok,clok,clok,clok;2
Lo lagi kuliah tapi otak lo cuma mikirin gimana memek lo yang becek bisa di kontolin di kampus,lo sengaja pake baju ketat biar ada yang lecehin,memek lo makin kedutan kalo ada yang katain lo lonte,tapi mulut lo sok²an marah tapi memek lo makin lendiran makin kedutan ga beraturan;2
Dasar lonte tiap hari di otak nya cuma kontol ngentot,pikiranya cuma pengen di kontolin memek lacurnya sampai kelojotan,di entot brutal sampai ampun²,memek lo itu ga ada gunanya selain jadi toilet buat cwo bejad,rusakin memek lo itu lonte,lowerin aja memek lacur ga berguna lo itu;2
"pinter sini lo rebahan di pinggir sofa,doyan ya mulut lacurnya di kontolin,kenapa?pusing?ga suka cara gua kontolin mulut lacur lo ini,gua tamparin nenen rendahan lo lonte plak,plak,plak,fvck enak banget kontolin mulut lonte rebahan sambil remes"" nenen,gue crottt di tenggorokan lo";2
"Sini lo,,kata lo memek lo sakit kan,gue tarik paksa baju lo lonte *krakkkk gue sisain cd lo doang
""Memek lo ga bisa di pakai kan? Sakit iya? cup cup cup,,,,
gue tampar muka lo lonte plak,plak,plak,sini lo rebahan di sofa,sini anjing ke pinggir,sepong nih kontol gua glok,glok,glok";2
Cewe kalo lagi haid emang lebih gampang sange yaa,,?;2
"""Kenapa lo kalo di kobelin memek nya ga bisa diam lonte
""Suka di giniin ya sayang?
""Suka memek lacur nya di mainin sampai tolol
""Kenapa lonte sampai kelojotan gini lo 
""Pengen pipis yaaa
""Memek lacur nya udah gatahan kalo di lecehin gini sayang? Hah?
""Mampusss lo banjirr";2
"Cewe :bisa ga sih cowo kalo lagi ngopi gausah pake haahhhhh

Cowo :bisa ga sih cewe kalo lagi dipake gausah aahhh aaahhh";2
Menurut psikolog, 95% pelukan,ciuman dan dimasukin dikit bisa menghilangkan stress;2
"Buka mulut lo lonte
""Cuuuhhh
Telan tolol,suka ya di ludahin lonte tolol
gua tamparin muka sangean lo
Plak,,plak,,plakk
Sepong nih kontol gue,sepong yang bener tolol
""Nah pinter lo jadi lonte
Glok,,glok,,glokk,,gokkkk
ahhhh shitttt
""Lonte suka yaa sama kontol ber urat sayanggg";2
Baru juga di;2
Pengen banget ya di lecehin memek lacurnya,di ludahin memek nya cuhhhh,terus dikontolin sampai bego,di kucek itil nya sampai kelojotan,sambil terus di tekan kontol gue kedalam memek lo sampai mentok,terus di crooottt in di dalam memek lo sampe pejuh nya meluber keluar;2
Lagi pengen ngelecehin lonte tolol,pengen tampolin mukanya pake kontol,terus jejelin ke mulutnya sampai bunyi glog,,glog,,glog,, tamparin nenen nya plak plak plak tamparin memek nya sampai di mohon² buat di kontolin;2
"Random amat pertanyaan lonte
""Biji cowo kenapa ada 2
""Film bokep pejuh nya banyak bener ga sih,pengen mandi pejuh
""Pengen ngewe sama luffy biar kontol nya gede
Ga sekalian ma naruto aja 1000 bayangan

Gausah di tag ntar juga nongol sendiri orang nya";2
"Random amat pertanyaan lonte
""Biji cowo kenapa ada 2
""Film bokep pejuh nya banyak bener ga sih,pengen mandi pejuh
""Pengen ngewe sama luffy biar kontol nya gede
Ga sekalian ma naruto aja 1000 bayangan

Gausah di tag ntar juga nongol sendiri orang nya";2
"Kenapa ayam kaki nya dua?
Kalau kaki nya di pundak aku ya kamu lontee";2
"""enak lonte memek lo jejelin kontol sampai mentok
""gue kucek itil lo,makin kelojotan kan lo
""kenapa?mau di remes sekalian nenen nya
""di remes² gini iyaa enak lontee
""ngapain kamu pegangin sprai dari tadi
""ga kuat ya dimainin abis²an memek lacur lo ini
""mau desah tinggal desah aja";2
"""Lengah dikit makan jembut";2
Lagi di kontolin memeknya bukannya diem malah berisik banget desah nya,nih mulut kamu jejelin cd bekas memek lendiran kamu,nungging kek anjing mulut nya di jejelin cd sambil disodok dari belakang sambil natap kaca rias,kamu lihat lonte yang haus kontol ya di kaca itu hahaha;2
Jiwa lonte nya mendarah daging masih kecil rela melakukan apa saja demi menjadi babi peliharaan pemuas nafsu,rela di injak di tampar,mau disuruh jilat anal penuh pup demi bisa menjadi babi peliharaan,demi bisa memuaskan memek nya yang lendiran haus kontol;2
Jiwa lonte nya mendarah daging masih kecil rela melakukan apa saja demi menjadi babi peliharaan pemuas nafsu,rela di injak di tampar,mau disuruh jilat anal penuh pup demi bisa menjadi babi peliharaan,demi bisa memuaskan memek nya yang lendiran haus kontol;2
"Bulu mata jatuh berarti ada yang rindu,kalau celana jatuh berarti ada yang melepas rindu
muehhehee";2
Udah dijambak, dicekik, ditampar, bukanya lapor polisi malah minta ganti gaya, kelakuan siapa itu??;2
"Gimana rasanya lonte di jadiin sandwich,enak yaaa semua lobang lo di jejelin kontol dibikin squirttt berkali²
Apa?? 
Pegel? betis lo keram kebanyakan orgasme? Bukanya itu yang lo pengenin perek,lihat memek lo sekarang lowerr bagus kan,makin horny kan lo sekarang hahaha";2
Enak lonte gue kontolin memek lo sampai mentok,sampai kaki lo kelojotan,dengar moaning lo makin sange gue,apalagi tiap gue pentokin kontol sampai bibir rahim lo,buat lo ngedesah sampai serak,bikin kontol gue ga lelah buat jebolin memek lo lontee mampuss;2
Ayo ngaku siapa yang memek nya baperan baru di katain lonte,lacur,perek langsung memek nya kedutan lendiran,sampai becek di celana dalam nya,,,;2
"Lo dari pada melet² kek anjing mending gue kontolin mulut lo lonte,buka mulut lo lonte,nih gue masukin kontol gue,glog,,,glog,,,glog,,,ouhhh
Gue teken mentok tenggorokan lo lonteee mampussss
enak lonte mulut lo di jejelin kontol sampai susah nafas";2
"Lo dari pada melet² kek anjing mending gue kontolin mulut lo lonte,buka mulut lo lonte,nih gue masukin kontol gue,glog,,,glog,,,glog,,,ouhhh
Gue teken mentok tenggorokan lo lonteee mampussss
enak lonte mulut lo di jejelin kontol sampai susah nafas";2
Kontol gue lo sedot sampe enak banget bgsd,udah mau crottt gua tarik kepala lo lonte,kirain udah kelar lo malah nangkring depan gue lagi nyetir,lo masukin kontol gue ke memek lo lonte,lo genjot memek lo sambil lo ciumin gue lagi fokus nyetir,lo genjot sampe peluk gue ga mau lepas;2
"Sore² nganterin kamu pake mobil katanya mau ke mall,lagi fokus nyetir tiba² di minta buka celana nengok ke kiri muka lo udah kek nahan sange udah buka baju ma bra aja,baru juga diturunin celana main sedot kontol gue aja anj,mulut lo nyedot kek vacum cleaner aja
Next,,,";2
Anak gadis om sekarang udah gede yaa om,payudara nya sudah mulai tumbuh,memek nya pun mekar dan wangi,boleh ga om saya ngewe anak om,pasti enak banget memek nya disodok kontol untuk pertama kali,gpp kan om,,klo dia saya bikin nangis karena memek nya saya jebolin buat pertama kali;2
"Kenapa di toko baju ga boleh berisik ? Karena ada baju tidur
Wkwkwkw
Btw kamu ga kangen aku?";2
"Kenapa di toko baju ga boleh berisik ? Karena ada baju tidur
Wkwkwkw
Btw kamu ga kangen aku?";2
Ini mah gue bukan penjahat kelamin lagi tapi pemuas kelamin para lonte bgsd,,,gara² gabut gue ladenin bocil² sange an,memek nya kedutan lendiran ga tau waktu,memek lo pada sumpelin dildo gih kek anjing lonte tolol;2
Memek lonte emang ga kenal waktu ga kenal tempat ga lihat pagi,siang,malam kedutan terus ga lagi dirumah,disekolah,di kantor mesti lendiran emang ga cape lonte hahaha;2
"Mana nih cwe² chindo tolol sange an,lagi pengen ngewe in memek chindo babi pengen gue jejelin memek nya pake kaki,area bekasi-jakarta,pengen gue kencingin pengen gue pejuhin,pengen gue tamparin muka,nenen,ma memek nya biar makin keliatan kelakuan babi nya
DM me babi chindo tolol";2
Nih anal gue jilatin lonte,mulut ga guna lo itu udah bagus klo bisa jilatin anal tuan mu,suka kan jilatin anal tuan mu yang ada pup nya dikit didalam,buka pantat nya jilat makin dalam tolol,dasar lonte rendahan buat anal tuan mu basah;2
Ngentotin kamu di kamar sambil lihat ayah kamu diluar dari jendela kamar,lihat ayah kamu lagi bersih² halaman tapi anak gadis nya sibuk menjadi pemuas nafsu,sambil terus kontolin memek kamu dari belakang,kamu cuma bisa lihat ayah kamu sambil melet² ke enakan lontee;2
Ngentotin kamu di kamar sambil lihat ayah kamu diluar dari jendela kamar,lihat ayah kamu lagi bersih² halaman tapi anak gadis nya sibuk menjadi pemuas nafsu,sambil terus kontolin memek kamu dari belakang,kamu cuma bisa lihat ayah kamu sambil melet² ke enakan lontee;2
Jangan main cewe nanti bisa bikin rejeki mu seret,tapi klo dapat yang seret itu rejeki;2
Mana disini lonte tolol yang pikiranya cuma pengen di gangbang,di jebolin memek nya,di kontolin memek nya biar tambah lower tak berbentuk,rela ngangkang di pinggir jalan biar ada yang mau kontolin memek hina nya;2
Sekolah bukanya belajar malah sangean,colmek di toilet,kelakuan siapa lagi klo bukan lonte haus kontol;2
Kamu lagi tidur tanpa busana aku siram tubuh mu dengan minuman,aku siram pelan dari nenen,perut,sampai memek mu lalu aku jilat minuman itu dari bawah memek,perut,nenen aku kenyot nenen mu aku remas pelan sampai kamu ga sabar pengen di kontolin,sampai memek mu kedutan ga beraturan;2
Udah dibilang suruh isep kontol gue yang bener masih aja tolol lo lonte,gua tamparin muka tolol lo plak plak plak,malah makin melet² kek anjing lo lonte,gua ludahin mulut lo tolol cuhhhh dasar lonte anjing,klo mau peju yang bener jilatin nya tolol;2
Udah dibilang suruh isep kontol gue yang bener masih aja tolol lo lonte,gua tamparin muka tolol lo plak plak plak,malah makin melet² kek anjing lo lonte,gua ludahin mulut lo tolol cuhhhh dasar lonte anjing,klo mau peju yang bener jilatin nya tolol;2
mana chindo lonte tolol yang mau di jejelin memek nya pake kontol hitam gue biar kelojotan sampai ga bisa jalan,mau gue sodok mulut nya sampai muntah,katanya suka kan minum pejuh gue minum kencing gue,nih penuhin mulut hina lo pake cairan suci gue lonte;2
Here’s another attempt at me being a pathetic pain slave;2
Dasar memek lonte baru di kirim VN aja udah kedutan keluar lendirnya mulu,,,memek lo mau di jejelin kontol sampai kejang² iya terus dipejuhin rahim lo sampe penuh lonte hah,memek murahan lo bakal gua pake rame² sama tukang ojek pangkalan biar memek lendiran lo makin lower lonteee;2
Aku jilat itil kamu lonte sambil aku masukin 2 jari ke memek kamu,kenapa udah ga tahan yaa,aku tampar² nenen mu pke tangan kiri ku,ga bisa ngelawan apa ke enakan ko sampe mulut kamu nganga mau mendesah tapi takut hahaha;2
Seneng banget di kencingin lo lonte,apalagi pas gua mandiin sambil gua grepe² remes² nenen lo mau basuh badan lo yang lain malah ditahan tangan gua suruh remesin nenen lo terus,badan lo kencing semua itu njing mau gua cuci;2
Siapa nih yang masih sekolah tapi punya memek lacur yg di kelas suka kedutan tiba² pengen di entot terus di pejuhin di dalam kelas,terus dikatain lonte di gilir teman sekolah dipake sama guru terus di genjot di belakang sekolah sama tukang kebon;2
"Apa gaya fav kalian?
Aku ngentot cwe dari belakang sambil aku jambak,terus nenen ma pipi nya nempel ma kaca balkon,genjot sampe mentok mau cwe nya pipis sambil berdiri terus pentokin kontol ke rahim
Klo kalian apa,,,,";2
Padahal aku cuma cium perut mu dari bawah ke atas sampe nenen aku kenyot pelan aja,kenapa kamu kelihatan gelisah lonte,pengen buru² yaa,ga sabar memek lonte kamu dah basah pengen di jejelin kontol;2
