text;label
BANDUNG, itb.ac.id - Fenomena berkeliarannya satwa liar monyet ekor panjang ke Kota Bandung pada 28 Februari 2024 menghebohkan warga lokal dan netizen.;0
Ahli ekologi dan spesialis mamalia satwa liar, Agung Ganthar Kusumanto, yang merupakan alumnus Biologi Institut Teknologi Bandung (ITB), memprediksi peristiwa ini sebagai salah satu tanda kelangkaan monyet ekor panjang.;0
Tidak sedikit yang berpendapat, munculnya monyet ekor panjang sebagai pertanda datangnya bencana alam.;0
Namun, Agung berpendapat bahwa turunnya monyet ke permukiman warga di kota disebabkan oleh rusaknya habitat.;0
Monyet ekor panjang (Macaca fascicularis) merupakan mamalia semicosmopolis yang hidup di sekitar riparian (tepian) sungai.;0
“Monyet jenis ini termasuk hewan yang dapat belajar cepat,” ujarnya.;0
Agung memperkirakan habitat asli monyet ekor panjang rusak karena faktor cuaca.;0
Alih fungsi hutan yang banyak dilakukan di Indonesia juga membuat berkurangnya lahan habitat monyet ekor panjang.;0
Ketika monyet mengetahui habitat asli mereka telah rusak, dengan cepat mereka menemukan habitat lain yang sejenis.;0
Namun, kurangnya jumlah kawasan hutan di Indonesia membuat monyet ekor panjang berpindah ke pemukiman manusia.;0
Habitat monyet ekor panjang yang rusak dapat berdampak pada kelangkaan satwa liar ini.;0
Kelangkaan monyet ekor panjang di alam juga dapat disebabkan oleh aktivitas perburuan liar.;0
Fenomena yang sering dijumpai di Indonesia yakni pertunjukan topeng monyet.;0
Munculnya monyet ekor panjang di permukiman manusia semakin meningkatkan peluang perburuan liar.;0
